Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
294;115;337;41;53.95;30.53;2.39;00000000000001233333345555666777
295;111;342;40;55.99;31.60;2.34;00000000000001233333345555666777
296;110;345;37;57.35;32.12;2.30;00000000000001233333345555666777
297;109;348;37;57.63;32.57;2.30;00000000000001233333345555666777
298;110;349;37;56.85;32.51;2.31;00000000000001233333345555666777
299;110;351;38;55.89;32.56;2.34;00000000000001233333345555666777
300;111;352;39;54.78;32.76;2.33;00000000000001233333345555666777
301;110;353;41;54.28;32.91;2.34;00000000000001233333345555666777
302;110;353;42;53.65;32.80;2.34;00000000000001233333345555666777
303;108;355;40;55.12;33.01;2.36;00011111111111112223455555566777
304;106;357;40;55.92;33.05;2.41;00011111111111112223455555566777
305;107;357;39;55.52;32.94;2.40;00011111111111112223455555566777
306;109;357;37;54.99;32.83;2.39;00011111111111112223455555566777
307;109;358;37;54.73;32.97;2.39;00011111111111112223455555566777
308;109;359;38;54.11;32.93;2.41;00011111111111112223455555566777
309;109;361;39;53.50;32.94;2.44;00011111111111112223455555566777
310;109;363;38;53.63;33.10;2.46;00011111111111112223455555566777
311;108;365;37;54.26;33.20;2.46;00011111111111112223455555566777
312;108;366;34;55.12;33.16;2.48;00011111111111112223455555566777
313;106;370;35;55.19;33.73;2.53;00011111111111112223455555566777
314;106;372;35;54.97;33.77;2.56;00011111111111112223455555566777
315;110;372;35;52.75;33.66;2.54;00011111111111112223455555566777
316;107;375;36;53.60;34.06;2.53;00011111111111112223455555566777
317;110;375;36;51.89;33.96;2.52;00011111111111112223455555566777
318;109;377;37;51.75;33.99;2.56;00011111111111112223455555566777
319;110;378;38;50.67;33.97;2.57;00011111111111112223455555566777
320;110;378;36;51.13;33.86;2.57;00011111111111112223455555566777
321;109;380;35;51.71;34.07;2.60;00011111111111112223455555566777
322;109;381;36;51.08;34.13;2.61;00011111111111112223455555566777
323;111;381;36;49.91;34.02;2.59;00011111111111112223455555566777
324;114;382;35;48.69;33.98;2.60;00011111111111112223455555566777
325;114;383;35;48.41;34.70;2.58;00011111111111112223455555566777
326;116;383;34;47.65;34.60;2.57;00011111111111112223455555566777
327;117;386;35;46.62;34.71;2.61;00011111111111112223455555566777
328;121;388;35;44.81;35.05;2.57;00011111111111112223455555566777
329;122;390;32;44.80;35.04;2.58;00011111111111112223455555566777
330;127;390;32;42.72;34.93;2.56;00011111111111112223455555566777
331;130;391;34;40.78;34.94;2.56;00011111111111112223455555566777
332;131;393;35;39.81;35.03;2.58;00011111111111112223455555566777
